,symbol,meaning
473,Babuchas: ,Relaciones amistosas y familiares favorables. 
474,Bacalao: ,Si lo vemos seco anuncia preocupaciones familiares. 
475,Bacanal: ,Cuidado con los excesos. 
476,Bacantes: ,Inmoralidad. 
477,Bacará: ,Si juega y gana indica que tendrá preocupaciones. 
478,Badajo: ,Nos advierte para que cambiemos nuestra actitud o nos veremos expuestos a un escándalo. 
479,Bagaje: ," Lo que le suceda a nuestro equipaje refleja nuestros temores sobre nuestra apariencia social, y si lo perdemos o abandonamos, ha llegado el momento de mostrarnos tal y como somos. "
480,Bagatela: ,Huya de los amores fáciles. 
481,Baile: ,-Si es de disfraces indica que para tener éxito con nuestra pareja debemos ser sinceros. -Si bailamos con la persona amada indica que es una unión sólida. -Si nos caemos mientras bailamos nos advierte para que no seamos tan altaneros/as. -Si el sueño resulta desagradable denota temor en nuestra relación amorosa. 
482,Bajar: ,-Si soñamos que bajamos de algún sitio indica que hemos terminado una etapa de nuestra vida. -Si el descenso es forzado o incontrolado refleja una situación que no sabemos como hacerle frente. 
483,Balada: ,Hipocresía a su alrededor. 
484,Balanzas: ,Nuestro testimonio será requerido para aclarar un asunto confuso. 
485,Balar: ,Las murmuraciones nos causarán problemas. 
486,Balaustrada: ,-Si está en buen estado y se apoya en ella recibirá ayuda para resolver sus problemas. -Si se encuentra deteriorada indica que tendremos una decepción con nuestros amigos. 
487,Balcón: ,-Si nos encontramos solos presagia que serán reconocidos nuestros méritos. -Si estamos con alguien del sexo opuesto indica que mejoraremos nuestra situación actual pero la gente murmurará de nosotros. 
488,Baldaquino: ,Nos ofrecerán protección y amistad. 
489,Baldío: ,Preocupaciones financieras. 
490,Baldosa: ,Bienestar familiar. 
491,Ballena: ,"Por lo general somos engullidos por ella. En estos sueños es muy importante darse cuenta de nuestra actitud dentro de la ballena pues supone si somos capaces o no de enfrentarnos con la vida cotidiana, si nuestra actitud es activa o pasiva. "
492,Ballesta: ," Es un presagio de avance importante en nuestra situación, de éxito. "
493,Ballet: ,Molestias y contrariedades. 
494,Balneario: ,Indica una necesidad de purificación. 
495,Balón: ,Sus triunfos están condicionados a la prudencia y al sacrificio. 
496,Balsa: ,Indica un período de incertidumbre en el que debemos cuidar no caer en un negocio inseguro. 
497,Balsamina: ,Simboliza la impaciencia. 
498,Bálsamo: ,Curación para un enfermo. 
499,Bambú: ,Período de suerte y de prosperidad. 
500,Banana: ,La banana es un símbolo sexual masculino. 
501,Banca: ,-Si guardamos dinero en un banco o joyas en una caja fuerte indica una necesidad de protección de quien lo sueña. -Si sacamos dinero indica que a pesar de las dificultades nos queda energía para afrontar los problemas. -Si el banco nos niega el dinero debemos aceptar que nos encontramos en una situación comprometida. -Únicamente el salir del banco con el dinero el ligeramente favorable. 
502,Bancarrota: ,Una situación injusta tendrá una solución imprevista y feliz. 
503,Banco: ,-Si es de madera indica que la proposición que nos han hecho es engañosa. -Si el banco es de piedra la proposición deberá ser tenida en cuenta. -Si es de hierro la proposición ira acompañada de un regalo. Desconfiemos. -Si se trata del banco de una iglesia la proposición será de matrimonio. Entonces confiaremos en ella. -Si es el banco de una escuela indica que todavía tenemos mucho que aprender. 
504,Banda: ,Verla desfilar con alegría indica que recibiremos noticias felices.  
505,Bandera: ,"-Si vemos ondear una bandera presagia riqueza y honor. -Si la portamos nosotros reconocimiento a nuestro valor. -Si la perdemos o nos la quitan indica pérdida de poder y mando. -Si es la de nuestro país nuestros méritos serán reconocidos. -Siendo de un país extranjero indica que solo será reconocida nuestra valía en otro país. -Si es la de un país imaginario es que nuestros sueños de grandeza no se cumplirán. -Si la bandera es negra estaremos luchando contra la enfermedad. -Si es roja luchamos por defender sentimientos. -Si es violeta, por la libertad. -Amarillo, por la inteligencia. -Marrón, por nuestros intereses materiales. -Cuanto más rota esté la bandera mayores serán los reconocimientos a nuestros méritos y nuestro valor. "
506,Banderilla: ,Usarla con éxito indica que su tenacidad sorprenderá a sus adversarios. 
507,Banderín: ,Indica que obtendremos pronto una recompensa honorífica. 
508,Bandidos: ,-Si los bandidos nos atacan augura éxito y riqueza. -Si se retiran sin atacarnos indica que perdemos la fortuna. 
509,Banjo: ,Problemas de dinero. 
510,Banquero: ,Decepciones. Pérdidas financieras. 
511,Banquete: ,-En caso de que el soñador sea profundamente religioso el sueño indica placeres espirituales compartidos. -En caso de ser una persona corriente anuncia reuniones familiares agradables o con los amigos. 
512,Bañador: ,Viaje de corta duración. 
513,Baño: ,"-Si el baño es agradable indica salud tanto física como espiritual, sobre todo si el agua es clara y transparente. -Si es turbia, demasiado caliente o demasiado fría indica que algo no marcha bien pero si termina siendo agradable obtendremos un beneficio.  -Si la bañera está vacía o no nos metemos en ella indica ocasiones "
514,Bar: ,"Sea prudente con sus relaciones, le pueden perjudicar. "
515,Baranda: ,"-Si la barandilla soñada está en buen estado es signo de suerte y protección. -Si forma parte de un lugar de espectáculos presagia amores fáciles y sin futuro. -Si está rota, desilusiones y esperanzas frustradas. "
516,Baratija: ,Gastos inútiles. 
517,Baratillo: ,"Debemos poner orden en nuestros razonamientos, existe falta de coherencia en nuestras ideas. "
518,Barba: ,"-Si nos afeitamos la barba indica que es momento de empezar una acción enérgica y directa. -Si quien se afeita es otra persona, la situación en que nos vemos requiere medidas enérgicas y decididas. -Si nos vemos con barba nos avisa para que moderemos nuestras ansias de poder y dinero. -Si aparecen personas barbudas indica que en lo que hacemos debe primar la imaginación y el ingenio para alcanzar nuestros objetivos. -Cuanto más hermosa y oscura mayores son las posibilidades de éxito. -Si es blanca, lo que ganaremos será prestigio y dignidad. -Si es escasa o débil serán escasas las posibilidades de éxito. -Teñirse la barba, estaremos tentados de disimular. -Lavarsela, signo de ansiedad. -Si aparece un barbero revela colaboración y ayuda de personas importantes. "
519,Barbado: ,Soñar con este pez augura una pérdida sin dolor. 
520,Barca/o: ,"Indica el fin de una etapa y el inicio de otra nueva. De lo que ocurra en el viaje se deducirá cual es el mensaje del sueño. Indica un cambio en nuestra vida, pero no lo hacemos solos, sino rodeados de todos los que conocemos. -Subir a un barco repleto de gente refleja la necesidad de relaciones con los demás. -Si el barco está vacío señala nuestra timidez. -Si cuando llega el barco, antes de que subamos al mismo, descienden pasajeros significa que este cambio de vida no es definitivo.  -Si solo vemos el barco indica que recibiremos una proposición que puede cambiar nuestra vida aunque todavía no hemos decidido si la aceptaremos o no. "
521,Barcaza: ,Se le presentarán otras perspectivas que le serán indicadas por la marcha de la navegación y el aspecto de la orilla opuesta. 
522,Bargueño: ,"-Recibirá apoyo afectivo en momentos penosos. -Si el mueble está vacío y en mal estado indica desamparo moral, soledad. "
523,Barómetro: ,-Verlo señalando mal tiempo indica peligro. -Si anuncia buen tiempo es un augurio feliz. -Romperlo indica que sus problemas cesarán pronto. 
524,Barquero: ,Empresa fácil y asequible. 
525,Barraca: ,Período de tristeza y soledad. 
526,Barranco: ,-Si vemos el barranco y lo sorteamos significa que en la vida real sortearemos los peligros. -Si caemos en el difícilmente lograremos triunfar. 
527,Barrendero: ,Es una advertencia de que está descuidando la solución en asuntos muy importantes. 
528,Barreño: ,"-Si está lleno indica alegría familiar. -Vacío, dificultades financieras. -Lavarse en él, problemas sentimentales. "
529,Barrer: ,Resolverá sus problemas según sus deseos. 
530,Barrera: ,"Simboliza la dificultad de alcanzar un fin. -Si aparecen barrotes cruzados además de obstáculos tendremos penas. -Si los barrotes están rotos, en la barrera existen puertas o algo que permita franquear el obstáculo es favorable pues tendremos medios para resolver nuestros problemas. -Si la barrera ya estaba formada los obstáculos nos vienen de fuera. -Si la construimos nosotros mismos los problemas también los generamos nosotros. -Si la barrera se derriba, además de problemas corremos peligro. -Si conseguimos mantenernos sobre la barrera nuestro esfuerzo nos augura éxito final.  "
531,Barricada: ,Peleas a su alrededor. 
532,Barriga: ,Nos indica que somos demasiado orgullosos. 
533,Barril: ,"-Anuncia prosperidad y cuanto más vino contenga, mayor abundancia, éxito y prosperidad. -Si contiene agua, alcohol, petróleo o aceite fracasaremos por ser demasiado ambiciosos. -Si contiene arenques presagia que no nos faltará nunca lo más indispensable. "
534,Barro: ,"-En caso de tratarse de barro para modelar indica que crearemos excelentes proyectos y triunfaremos. -En caso de ser barro muy líquido, que solo ensucia, presagia la caída en la inmoralidad aunque siempre es posible regenerarse. "
535,Báscula: ,Nuestro testimonio será requerido para aclarar un asunto confuso. 
536,Bastardo: ,Usted logrará superar los problemas e imponerse. 
537,Bastión: ,-Si estamos en él nos incita a ser prudentes. -Si lo construimos indica que deseamos nuestra seguridad y la de nuestros bienes. -Si presenciamos su demolición augura pérdidas por nuestra falta de prudencia. 
538,Bastón: ,-Utilizado como arma presagia separaciones y rupturas cuyo culpable será el agresor. -Si sirve de sostén simboliza a nuestros amigos. -Si está roto la ayuda que nos prestan es ineficaz y fracasaremos. 
539,Basura: ,A su alrededor existen malos sentimientos. 
540,Basurero: ,Circunstancias desfavorables para sus intereses. 
541,Bata: ,Sentimientos renovados. Felicidad cercana. 
542,Batalla: ,Indica injusticia hacia nosotros. -Si vencemos a los enemigos presagia reconocimiento de nuestros derechos. -Si perdemos sufriremos humillaciones. -Si somos heridos sufrimientos morales.  
543,Batir: ,-Si se trata de lana sufriremos por habladurías. -Si es un colchón indica amoríos nada serios. 
544,Batirse: ,Situación difícil e incierta. 
545,Baúl: ,"-Si está desordenado deberemos reordenar y actualizar nuestros conocimientos. -Vacío indica que no estamos capacitados para una situación que nos gustaría por falta de conocimientos. -Si lo soñamos lleno y ordenado y su contenido es de mala calidad debemos actualizar nuestros conocimientos. -Si las telas son de buena calidad y si todo es ropa blanca, sufriremos alguna enfermedad o herida. -Si está lleno de ropa de color anuncia que conseguiremos riqueza y bienestar gracias a nuestros conocimientos. "
546,Bautismo: ,-Si lo presenciamos presagia que nuestros sentimientos hacia otra persona se purificarán y tendremos la necesidad de compartir nuestra vida con ella. -Si el bautizo no es de un niño se tratará de algo emotivo y entrañable. 
547,Bayas: ,Actividades profesionales exitosas salvo que estén podridas que indica contrariedades. 
548,Bayoneta: ,-Verla significa querellas. -Usarla indica que prevalecerá sobre sus adversarios. -Si la usan otras personas sufrirá a causa de sus enemigos. 
549,Bazar: ,"Debemos poner orden en nuestros razonamientos, existe falta de coherencia en nuestras ideas. "
550,Beata: ,-Signo de propósitos malévolos contra nosotros. -Golpearla significa que acabaremos con los difamadores. 
551,Bebé: ,Es signo de felicidad en el hogar. Si nos vemos convertidos en bebé indica que el soñador se sentía muy amado y atendido. 
552,Beber: ,"-Si bebemos vino en un lugar agradable presagia que se aproximan tiempos felices. -Si bebemos de un vaso lujoso la fortuna nos será propicia. -Si lo que bebemos es amargo nos previene de una posible enfermedad.  -Si somos creyentes y soñamos con animales bebiendo en una vasija o fuente y principalmente en parejas, pronostica que pronto seremos capaces de asimilar la verdadera doctrina de Dios. "
553,Becada o agachadiza: ,Soñar con este pájaro avisa de que las personas que nos rodean no son tan ingenuas como creemos. 
554,Beduino: ,Presagia soledad y desasosiego. 
555,Belleza: ,Anuncia celos por parte del soñador hacia su pareja. 
556,Bellotas: ,Presagio de éxito y fortuna. En un plano espiritual simbolizan el poder del espíritu y la verdad. 
557,Bendecir: ,-Ser bendecido pronostica ayuda y protección. -Bendecir a una persona indica penas. 
558,Benefactor: ,Riesgos financieros. 
559,Beneficio: ,"-Procurarlos para los demás indica que se burlarán de usted. -Recibirlos, celos de sus relaciones personales. "
560,Berenjena: ,Augura penas y sufrimiento a causa de alguna pasión secreta. 
561,Berros: ,Pronostica mejoría en cualquier faceta. 
562,Besar: ,"-A una persona del sexo opuesto presagia infidelidad salvo si se trata de nuestra pareja, en cuyo caso anuncia buena fortuna. -Si se trata de una persona querida anuncia su partida. -Si besamos a alguien del mismo sexo sin afecto nos beneficiaremos de ella. -Si hacemos lo mismo pero con afecto ella será la que se beneficie de nosotros. -Besar la tierra presagia penas. -A un muerto, próxima herencia. "
563,Bestia: ,Soñar con una bestia es un reflejo distorsionado de nuestra conciencia que nos acusa de alguna falta que nos atormenta. -Si se trata de una bestia aterradora este sueño nos revela que seguimos atados a los temores infantiles y a los complejos de culpabilidad.  -Si la bestia es tentadora refleja desconfianza en nosotros mismos y temor ante nuestras debilidades. -La bestia conciliadora y amistosa revela nuestra tendencia o nuestro deseo de disminuir la culpabilidad de nuestras faltas. 
564,Betún: ,Malas inclinaciones. 
565,Biberón: ,El soñador engendrará un hijo y todo se producirá felizmente. 
566,Biblia: ,"-Leerla o poseerla indica necesidad de soledad y de reflexión. -Perderla, dificultades familiares. "
567,Biblioteca: ,-Si la biblioteca está vacía nos advierte de que aún carecemos de suficientes conocimientos para acometer lo que nos proponemos. -Si la soñamos llena de libros nos garantiza el éxito en nuestros trabajos. 
568,Bicicleta: ,"Es nuestra propia vida la que se halla representada y todo depende de nosotros. -Representa nuestra capacidad energética. -Su aspecto, nuestro aspecto externo. -El manillar, la capacidad de control. -Los frenos, la voluntad. -El cambio de marchas, la inteligencia. -Las luces, nuestra capacidad de visión de los hechos. -Si la bicicleta está en buen estado es que tenemos confianza en nosotros mismos. -Si se halla en mal estado representa nuestros temores. -Si nos vemos solos conduciendo la bicicleta indica deseos de independencia. -Si viajamos acompañados las actuaciones de los pasajeros, incluidos nosotros, nos revelará cuál es nuestra actitud con los que nos rodean. -Si lo conduce otra persona significa que no nos sentimos dueños de nuestro destino. "
569,Bienes: ,"-Adquirirlos indica alegría y felicidad. -Si nos los roban, preocupaciones financieras. -Verlos quemarse, pérdida de dinero. "
570,Bifurcación: ,Deberemos escoger entre dos o más decisiones. 
571,Bigamia: , Felicidad conyugal. 
572,Bigote: ,"-Si es una mujer la que sueña que su marido se deja bigote y en realidad no lo tiene, existen sospechas de que la está engañando. -Si somos nosotros los que nos vemos con bigote es que existe algo falso en nuestra vida. -Si soñamos que lo afeitamos indica que ha llegado el momento de sincerarnos. "
573,Bilingüe: ,Anuncia encuentros interesantes. 
574,Bilis: ,Ganancia de dinero. 
575,Billar: ,Si nos vemos jugando al billar significa que en nuestra vida contamos más con el azar que con el trabajo y la responsabilidad. 
576,Billete: ,Todos los sueños de billetes tienen un significado similar. En esta vida una cosa son las capacidades y las cualidades que poseemos y otra muy distinta el papel que nos ha tocado desempeñar. Muchas veces nos vemos obligados a vivir muy por debajo o muy por encima de nuestras verdaderas capacidades. 
577,Billetero: ,"-Usarlo indica que somos minuciosos con nuestros asuntos. -Perderlo, problemas financieros. "
578,Binar: ,Algunas mejoras en su situación. 
579,Biombo: ,Indica que existen verdades ocultas. 
580,Birrete: ,Gozará de protección devota y sincera. 
581,Bisonte: ,Mejora financiera siempre que decidamos correr los riesgos necesarios. 
582,Bisturí: ,Cuando en sueños aparece un bisturí es que existe algo que ha llegado al punto en que es necesario tomar medidas drásticas para salir de esta situación. 
583,Bizco: ,Le conviene reflexionar en sus asuntos de negocios. 
584,Bizcocho: ,Este sueño es augurio de buena salud y pequeños beneficios.  
585,Blanco: ,-Si aparece el color blanco impoluto en nuestros sueños nos augura confianza no traicionada. -Si los objetos blancos aparecen sucios seremos objeto de traiciones. -Si se trata del blanco de una diana augura éxito en sus proyectos. 
586,Blancura: ,Buena reputación de quien lo sueña. 
587,Blanquear: ,Si nos vemos blanqueando algo presagia una reconciliación. También puede significar que queremos aparentar ser buenos e inocentes. 
588,Blasfemia: ,Estamos sufriendo angustias. 
589,Blasón: ,"Simboliza honores, dignidades y recompensas. "
590,Bloc: ,Para que en tu hogar las cosas marchen bien deberás rechazar una cita. 
591,Blonda: ,Coquetería exagerada. 
592,Blusa: ,Posibilidad de un viaje inesperado. 
593,Boa: ,"-El significado más frecuente es de carácter sexual, especialmente si los soñadores son jóvenes. -También simboliza sabiduría y poder curativo. -Ver una serpiente dormida indica que nuestras fuerzas instintivas están dormidas. -Si se despierta y se desliza sin producirnos temor revela deseos de una evolución espiritual. -Soñar con una piel de serpiente o verla como muda indica que está próximo un profundo cambio evolutivo. -Si aparecen serpientes venenosas lo que indica es el temor a encontrarnos en situaciones embarazosas. "
594,Boca: ,"-Si hablamos indica deseos de comunicarnos. -Si no decimos nada, rechazo profundo a la otra persona. -Si quien calla es la otra persona el rechazo es de ella hacia nosotros. "
595,Bocadillo: ,Momentos reconfortantes durante un período deprimente. 
596,Bocina: ,Presagia acontecimientos desdichados.  
597,Boda: ,"-Asistir a una boda: *Para un soltero indica promesa de felicidad cercana. *Para un/a casado/a, preocupaciones familiares. -Asistir a nuestra propia boda: *Si es usted soltero, cambios favorables en su vida. *Si está casado, disgustos conyugales. *Si está casado y ve casarse a su pareja también dificultades conyugales. "
598,Bodega: ,"Simboliza nuestro inconsciente. -Si está limpia y ordenada indica que nuestro mundo interior es rico y ordenado. -Si está sucia, desordenada y llena de trastos inútiles igual encontraremos nuestro inconsciente. -Si está bien surtida presagia alegría y regocijo. "
599,Bofetada: ,-Si damos una presagia que serán injustos con nosotros. -Si nos la dan indica que recibiremos un castigo por nuestra maldad. 
600,Bogavante: ,Anuncia placeres delicados pero perjudiciales para la salud. 
601,Bohemio: ,Soñar con uno o con este ambiente indica que cedemos con frecuencia a las bajas pasiones. 
602,Boina: ,Su confianza será puesta a prueba. 
603,Boj: ,"-Si lo plantamos indica larga vida. -Recogerlo, aflicción. -Recibir un ramo, consuelo. "
604,Bolo: ,"Soñar que jugamos a los bolos presagia alegría, placer y amistad. "
605,Bolsa: ,-Si los objetos que contiene no son los que hay habitualmente revela dificultades de cualquier tipo. -Si se trata del edificio de la bolsa de valores indica que su negocio se verá comprometido por decisiones azarosas. 
606,Bolsillos: ,"-Si lo soñamos cuando dábamos por concluido algún problema augura que volverá a aparecer. -Si el bolsillo está lleno, este problema nos producirá gastos. -Si lo vemos vacío terminaremos ganando dinero.  -Si está roto o agujereado presagia pérdidas. "
607,Bolso: ,"-Si está lleno simboliza que tenemos secretos bien guardados. -Si está vacío indica que la persona propietaria es incapaz de guardar un secreto. -Perder el bolso significa que alguien conoce nuestros secretos. -Si nos lo roban, alguien se enterará de lo que no queremos usando la fuerza. "
608,Bomba: ,-Se avecinan grandes problemas. -Si asistimos a un bombardeo indica que hemos finalizado una etapa de nuestra vida. -Si se trata de una bomba de agua indica que sus problemas empezarán a solucionarse gracias al apoyo de sus amistades. 
609,Bomberos: ,-Verlos en actividad anuncia grandes penurias. -Con el incendio ya apagado indica que finalizan sus preocupaciones. 
610,Bombilla: ,"-Si se encuentra encendida presagia alegría familiar. -De potencia débil indica que sus relaciones familiares son frágiles. -Si está apagada, incomprensión afectiva. -Romperla, pérdidas financieras. -Ponerla indica que empieza un nuevo proyecto. "
611,Bombo: ,Si se trata de un bombo de lotería anuncia preocupaciones y contrariedades. 
612,Bombón: ,Anuncia peligro de calumnia. 
613,Bombona: ,Las bombonas representan en sueños nuestras reservas de energías y capacidad de trabajo. Así como se encuentre la bombona se encontrarán nuestras energías. 
614,Boñiga: ,Señal de suerte y prosperidad. 
615,Boomerang: ,Sus amigos le sorprenderán a traición. 
616,Boquerones: ,-Si los vemos indica esperanzas frustradas. -Si los comemos augura noticias agradables. 
617,Bordar: ,Revela ambición y verse con un vestido lleno de bordados indica falsedad y engaño.  
618,Borrachera: ,Verse ebrio en sueños significa que su vida carece de objetivos. 
619,Borrar: ,Debe estudiar mejor la ejecución de sus proyectos. 
620,Bosque: ,"En este sueño son tan importante el propio sueño como las sensaciones tenidas en él. -Si paseamos por el bosque y nos sentimos seguros refleja que somos dueños de nosotros mismos, que gozamos de buen criterio. -Si nos perdemos en el bosque y sentimos miedo. Si rugen o aparecen fieras amenazadoras. Si el silencio es lúgubre. En todos estos casos es que todavía no somos dueños de nosotros mismos. -Pero si vemos brillar el sol. Si su luz nos permite ver por donde andamos es señal de que terminaremos comprendiendo la causa de nuestros temores internos para finalmente superarlos. "
621,Bostezo: ,Su indiferencia puede perjudicar sus relaciones. 
622,Botas: ,"Símbolo de libertad. -Soñarnos con los zapatos puestos, sucios indica sentimientos de culpa. -Andar sin zapatos, peligro de vernos sometidos a los demás. -Vernos sin zapatos y sin andar revela temor a la pobreza. -Vernos bien calzados equivale a sentirnos libres. -Soñarnos con zapatos infantiles revela que somos inmaduros. -Si el zapato nos aprieta aún no sabemos desenvolvernos con la libertad de una nueva situación. -Si se nos rompe un zapato presagia la pérdida de nuestra libertad. "
623,Bote: ,"Indica el fin de una etapa y el inicio de otra nueva. De lo que ocurra en el viaje se deducirá cual es el mensaje del sueño. Indica un cambio en nuestra vida, pero no lo hacemos solos, sino rodeados de todos los que conocemos. -Subir a un bote repleto de gente refleja la necesidad de relaciones con los demás. -Si el bote está vacío señala nuestra timidez. -Si cuando llega el bote, antes de que subamos al mismo, descienden pasajeros significa que este cambio de vida no es definitivo. -Si solo vemos el bote indica que recibiremos una proposición que puede cambiar nuestra vida aunque todavía no hemos decidido si la aceptaremos o no. "
624,Botella: ,"-Soñar con botellas llenas de un líquido claro y transparente indica alegría.  -Si el líquido es turbio, incidentes desagradables. -Vacía, pesares. -Rotas, discusiones. "
625,Botín: ,Sus acciones serán contrarias a sus intereses. 
626,Botones: ,"-Perder un botón indica pérdida de dinero. -Si lo cosemos augura felicidad en el hogar. -Si son metálicos presagian invitaciones. -De oro o plata, excesiva tendencia al gasto. -De madera, éxito después de mucho trabajar. -De nácar, viajes o placeres inesperados. -Si está forrado de tela nos avisa para que vigilemos nuestra salud. "
627,Bóveda: ,Representa nuestra posición social. -Sólida y bien iluminada representa que igual será nuestra posición. -Si es oscura igualmente. -En ruinas señala que está en peligro nuestra posición. 
628,Boxeador: ,Su éxito dependerá del resultado de la lucha. 
629,Bozal: ,Sus rivales harán suposiciones de su proceder en los negocios. 
630,Bramido: ,Circulan rumores sobre nosotros. 
631,Brasa: ,Advierte que tenga cuidado con los incendios. 
632,Brazalete: ,El brazalete es un símbolo de continuidad a la vez que protege y aísla. -Si tiene piedras preciosas se une el significado de la piedra al del brazalete. -Si se rompe un brazalete anuncia la ruptura del matrimonio. -Perder un brazalete augura disputas con quien nos lo dio. -Ponerselo a otra persona indica nuestro deseo de dominarla. 
633,Brazos: ,"Simbolizan la acción, la amistad y la fuerza. -Unos brazos fuertes indican que seremos siempre bienvenidos. -Si son débiles nos acogerán igual de bien pero será falso.  -Vernos sin brazos, amenaza de próxima ruina. -Nos falta un brazo, enfermedad. -Si nos rompemos un brazo o lo vemos más delgado significa enfermedad o penuria. -Si son más largos o robustos que en la realidad veremos llegar el éxito y la riqueza. "
634,Breviario: ,Necesidad de aislamiento y consuelo. 
635,Brezo: ,"-Verlo indica alegría intima. -Cogerlo, mejoría en su situación. "
636,Bridas: ,"-Ponerselas al caballo indica que recibirá buenos consejos para aplicar a sus actividades. -Quitárselas, actividades provechosas. "
637,Brincar: ,Impaciencia. 
638,Brindis: ,Reuniones de amigos falsos e hipócritas. 
639,Brisa: ,Realización de sus ambiciones. 
640,Brocha: ,Si es de afeitar anuncia conflictos familiares. 
641,Broche: ,Una persona planea engañarle. 
642,Broma: ,Necesidad de comunicarse con los demás. 
643,Bronce: ,Buen presagio para la continuación de nuestro bienestar. 
644,Bronceado: ,Advertencia de que no podrá borrar sus verdaderos sentimientos. 
645,Brote: ,Construcción de una nueva etapa de su vida. 
646,Brujo/a: ,Estos sueños son una manifestación irracional de nuestros deseos incumplidos. 
647,Brújula: ,Necesidad de recibir consejos. -Romper la brújula significa elección equivocada. 
648,Bruma: , Es una advertencia para que seamos prudentes antes de tomar una decisión. 
649,Brutalidad: ,-Cometerla indica que ofenderá a una persona. -Sufrirla que se cometerá una injusticia contra usted. 
650,Bucle: ,Si es un bucle de cabello significa amor profundo. 
651,Buey: ,"Simboliza el sacrificio, la paciencia, el trabajo y la fuerza. -Si lo vemos lustroso y con buena cornamenta predice abundancia de bienes materiales. -Sin cuernos augura pobreza. -Si está furioso, enfermedad. -Durmiendo o muy delgado, pobreza. -Muerto, miseria y desgracias. "
652,Búfalo: ,Significa lo mismo que buey. 
653,Bufanda: ,"-Si la bufanda es de buena calidad apreciará excelentes resultados en sus actividades. -Si es modesta reflejará modestos resultados y así será, siempre dependiendo del estado de la bufanda. "
654,Bufón: ,Incomprensión hacia usted. 
655,Buhardilla: ,Si en sueños vivimos en una indica pobreza y tristeza. 
656,Búho: ,-Soñar con uno presagia chismorreos y murmuraciones. -Si le matamos indica que no lograrán perjudicarnos dichas murmuraciones. -Si vemos como matan o maltratan a un búho indica que somos nosotros los que hacemos comentarios sobre los demás. -Oír el grito de un búho anuncia desgracias. 
657,Buhonero: ,Incertidumbre en sus negocios. 
658,Buitre: ,Los buitres en sueños representan a nuestros enemigos. -Si el buitre nos ataca no podemos esperar clemencia de estas personas. -Si lo matamos no serán tan terrible nuestros enemigos.  -Si en el sueño el búho permanece ajeno a nosotros es una advertencia para que estemos muy alertas. 
659,Bulevar: ,-Verlo con árboles indica que conseguiremos lo que deseamos. -Si los árboles son débiles presagia que tendremos muchas dificultades para triunfar. 
660,Bulto: ,Fortuna y prosperidad. 
661,Bulldog: ,Progreso de su situación personal. 
662,Burbujas: ,Decepciones en los negocios. 
663,Buril: ,Tendrá éxito gracias a su trabajo y tesón. 
664,Burlas: ,Si en sueños somos víctimas de burlas se aprovecharán de usted. 
665,Buscar: ,-Si buscamos algo presagia que tendremos dificultades fácilmente superables. -Cuando buscamos a alguien refleja nuestra inquietud por dicha persona. 
666,Busto: ,"-Verlo indica que sus proyectos se realizarán. -Si lo vemos roto, los proyectos fracasarán. "
667,Buzo: ,"-Bucear con facilidad sin cansancio presagia que lograremos el éxito tanto económico como amoroso. -Si nos ahogamos indica que nuestras ambiciones se esfumarán. -Si salvamos a alguien de morir ahogado significa que evitaremos una pasión peligrosa para nosotros. -Si estamos aprendiendo a bucear, dudamos de nuestra fuerza de voluntad. -Bucear en aguas claras significa que somos claros y nobles. -En aguas turbias, pasión con malos pensamientos. -Si estamos buceando y la mar o el río se enfurecen o nos arrastra la corriente indica que nuestras pasiones serán más fuertes que nuestra voluntad. "
668,Cábala: ,Alguien prepara calumnias en su contra. 
669,Cabalgata: , Soñar con una cabalgata de carnaval nos advierte de que tendremos que rendir cuentas si nos dejamos arrastrar por los placeres fáciles. 
670,Cabalgar: ,-Galopar a rienda suelta indica fuertes deseos de sexualidad. -Dominar o no al caballo equivale a si somos o no capaces de dominar nuestros sentidos y pasiones. -Si estos sueños son tenidos en la infancia hablan de nuestros deseos de aventura y acción. 
671,Caballa: ,Soñar con este pez nos advierte de que alguien nos está explotando en lo profesional y no nos hemos dado cuenta. 
672,Caballeriza: ,"-Con hermosos caballos presagia riquezas. -Si están vacías, próximas penurias. -Si nos encontramos dentro, riqueza estable y duradera. "
673,Caballero: ,Si en sueños somos un caballero indica que afrontará con dignidad sus problemas. 
674,Caballete: ,Si utilizamos un caballete en sueños es que comenzamos un período de meditación y reflexión. 
675,Caballito de mar: ,Verlo es un símbolo de buena suerte y felicidad. 
676,Caballo: ,"-Si un enfermo sueña que galopa en un caballo a través de bosques puede empeorar su enfermedad. -Si el enfermo galopa por una ciudad pronto curará. -Montar a caballo indica éxito y prosperidad. -Caer del caballo señala pérdidas. -Si el caballo está ensillado pero no lo monta nadie augura reunión de mujeres. -Vender un caballo amenaza pérdida de bienes. -Castigarlo, falsas acusaciones. -Verlo herrar, debemos prepararnos para un viaje. -Darle pienso, riqueza. -Si tiene la cola muy larga, podemos contar con nuestros amigos. -Si el caballo es blanco augura buenas noticias. -Negro, problemas. -Bayo, dignidades. -Alazán, dificultades. -Gris, obstáculos.  "
677,Cabaña: ,-Ver una cabaña predice tranquilidad en el trabajo. -Si vivimos en una y más si es con niños augura felicidad modesta pero duradera. -Si soñamos con una cabaña siendo adolescentes indica que no queremos las responsabilidades de los adultos. 
678,Cabaret: ,Necesidad de distracción y descanso. 
